compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD0739	PC(16:0/18:4)	NA	NA
CPD0740	PC(16:0/20:1)	NA	NA
CPD0741	PC(16:0/20:2)	NA	NA
CPD0742	PC(16:0/20:3)	NA	NA
CPD0743	PC(16:0/20:4)	NA	NA
CPD0744	PC(16:0/22:4)	NA	NA
CPD0745	PC(16:0/22:5)	NA	NA
CPD0746	PC(16:0/22:6)	NA	NA
CPD0747	PC(17:0/16:1)	NA	NA
CPD0748	PC(17:0/18:1)	NA	NA
CPD0749	PC(17:0/18:2)	NA	NA
CPD0750	PC(17:0/18:3)	NA	NA
CPD0751	PC(17:0/20:3)	NA	NA
CPD0752	PC(17:0/20:4)	NA	NA
CPD0753	PC(17:0/20:5)	NA	NA
CPD0754	PC(17:0/22:5)	NA	NA
CPD0755	PC(17:0/22:6)	NA	NA
CPD0756	PC(18:0/12:0)	NA	NA
CPD0757	PC(18:0/14:0)	NA	NA
CPD0758	PC(18:0/16:1)	NA	NA
CPD0759	PC(18:0/18:0)	NA	NA
CPD0760	PC(18:0/18:1)	NA	NA
CPD0761	PC(18:0/18:2)	NA	NA
CPD0762	PC(18:0/18:3)	NA	NA
CPD0763	PC(18:0/20:0)	NA	NA
CPD0764	PC(18:0/20:1)	NA	NA
CPD0765	PC(18:0/20:2)	NA	NA
CPD0766	PC(18:0/20:3)	NA	NA
CPD0767	PC(18:0/20:4)	NA	NA
CPD0768	PC(18:0/22:4)	NA	NA
CPD0769	PC(18:0/22:5)	NA	NA
CPD0770	PC(18:0/22:6)	NA	NA
CPD0771	PC(18:1/16:1)	NA	NA
CPD0772	PC(18:1/18:1)	NA	NA
CPD0773	PC(18:1/18:2)	NA	NA
CPD0774	PC(18:1/18:3)	NA	NA
CPD0775	PC(18:1/20:1)	NA	NA
CPD0776	PC(18:1/20:2)	NA	NA
CPD0777	PC(18:1/20:3)	NA	NA
CPD0778	PC(18:1/20:4)	NA	NA
CPD0779	PC(18:1/22:4)	NA	NA
CPD0780	PC(18:1/22:5)	NA	NA
CPD0781	PC(18:1/22:6)	NA	NA
CPD0782	PC(18:2/16:1)	NA	NA
CPD0783	PC(18:2/18:2)	NA	NA
CPD0784	PC(18:2/18:3)	NA	NA
CPD0785	PC(18:2/20:1)	NA	NA
CPD0786	PC(18:2/20:2)	NA	NA
CPD0787	PC(18:2/20:3)	NA	NA
CPD0788	PC(18:2/20:4)	NA	NA
CPD0789	PC(18:2/22:4)	NA	NA
CPD0790	PC(18:2/22:5)	NA	NA
CPD0791	PC(18:2/22:6)	NA	NA
CPD0792	PC(20:0/14:1)	NA	NA
CPD0793	PC(20:0/16:1)	NA	NA
CPD0794	PC(20:0/18:1)	NA	NA
CPD0795	PC(20:0/18:2)	NA	NA
CPD0796	PC(20:0/20:3)	NA	NA
CPD0797	PC(20:0/20:4)	NA	NA
CPD0798	PE(14:0/18:2)	NA	NA
CPD0799	PE(14:0/20:4)	NA	NA
CPD0800	PE(16:0/16:0)	NA	NA
CPD0801	PE(16:0/16:1)	NA	NA
CPD0802	PE(16:0/18:1)	C13877	NA
CPD0803	PE(16:0/18:2)	NA	NA
CPD0804	PE(16:0/18:3)	NA	NA
CPD0805	PE(16:0/20:2)	NA	NA
CPD0806	PE(16:0/20:3)	NA	NA
CPD0807	PE(16:0/20:4)	NA	NA
CPD0808	PE(16:0/20:5)	NA	NA
CPD0809	PE(16:0/22:4)	NA	NA
CPD0810	PE(16:0/22:5)	NA	NA
CPD0811	PE(16:0/22:6)	NA	NA
CPD0812	PE(17:0/18:1)	NA	NA
CPD0813	PE(17:0/18:2)	NA	NA
CPD0814	PE(17:0/20:2)	NA	NA
CPD0815	PE(17:0/20:4)	NA	NA
CPD0816	PE(17:0/22:4)	NA	NA
CPD0817	PE(17:0/22:6)	NA	NA
CPD0818	PE(18:0/16:0)	NA	NA
CPD0819	PE(18:0/16:1)	NA	NA
CPD0820	PE(18:0/18:0)	NA	NA
CPD0821	PE(18:0/18:1)	NA	NA
CPD0822	PE(18:0/18:2)	NA	NA
CPD0823	PE(18:0/18:3)	NA	NA
CPD0824	PE(18:0/20:1)	NA	NA
CPD0825	PE(18:0/20:2)	NA	NA
CPD0826	PE(18:0/20:3)	NA	NA
CPD0827	PE(18:0/20:4)	NA	NA
CPD0828	PE(18:0/20:5)	NA	NA
CPD0829	PE(18:0/22:4)	NA	NA
CPD0830	PE(18:0/22:5)	NA	NA
CPD0831	PE(18:0/22:6)	NA	NA
