compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD000765	PE(18:2/20:3)	NA	.
CPD000766	PE(18:2/20:4)	NA	.
CPD000767	PE(18:2/20:5)	NA	.
CPD000768	PE(18:2/22:4)	NA	.
CPD000769	PE(18:2/22:5)	NA	.
CPD000770	PE(18:2/22:6)	NA	.
CPD000771	PE(O-16:0/16:0)	NA	.
CPD000772	PE(O-16:0/18:1)	NA	.
CPD000773	PE(O-16:0/18:2)	NA	.
CPD000774	PE(O-16:0/18:3)	NA	.
CPD000775	PE(O-16:0/20:3)	NA	.
CPD000776	PE(O-16:0/20:4)	NA	.
CPD000777	PE(O-16:0/20:5)	NA	.
CPD000778	PE(O-16:0/22:4)	NA	.
CPD000779	PE(O-16:0/22:5)	NA	.
CPD000780	PE(O-16:0/22:6)	NA	.
CPD000781	PE(O-18:0/16:0)	NA	.
CPD000782	PE(O-18:0/18:0)	NA	.
CPD000783	PE(O-18:0/18:1)	NA	.
CPD000784	PE(O-18:0/18:2)	NA	.
CPD000785	PE(O-18:0/18:3)	NA	.
CPD000786	PE(O-18:0/20:3)	NA	.
CPD000787	PE(O-18:0/20:4)	NA	.
CPD000788	PE(O-18:0/20:5)	NA	.
CPD000789	PE(O-18:0/22:4)	NA	.
